nl_query,sql_query
Find count of records where Id is not between 10 and 20 from PermissionModuleType,SELECT COUNT(*) FROM PermissionModuleType WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from PermissionType,SELECT * FROM PermissionType;
Find top 10 records from PermissionType,SELECT TOP 10 * FROM PermissionType;
Count total records in PermissionType,SELECT COUNT(*) FROM PermissionType;
Find Id from PermissionType where Id > 50,SELECT Id FROM PermissionType WHERE Id > 50;
Find unique values in Id from PermissionType,SELECT DISTINCT Id FROM PermissionType;
Find average of Id from PermissionType,SELECT AVG(Id) FROM PermissionType;
Find minimum of Id from PermissionType,SELECT MIN(Id) FROM PermissionType;
Find maximum of Id from PermissionType,SELECT MAX(Id) FROM PermissionType;
Find sum of Id from PermissionType,SELECT SUM(Id) FROM PermissionType;
Find count of Id from PermissionType,SELECT COUNT(Id) FROM PermissionType;
Find count of distinct Id from PermissionType,SELECT COUNT(DISTINCT Id) FROM PermissionType;
Find count of null values in Id from PermissionType,SELECT COUNT(*) - COUNT(Id) FROM PermissionType;
Find count of non-null values in Id from PermissionType,SELECT COUNT(Id) FROM PermissionType;
Find count of records where Id is null from PermissionType,SELECT COUNT(*) FROM PermissionType WHERE Id IS NULL;
Find count of records where Id is not null from PermissionType,SELECT COUNT(*) FROM PermissionType WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from PermissionType,SELECT COUNT(*) FROM PermissionType WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from PermissionType,SELECT COUNT(*) FROM PermissionType WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Record,SELECT * FROM Record;
Find top 10 records from Record,SELECT TOP 10 * FROM Record;
Count total records in Record,SELECT COUNT(*) FROM Record;
Find Id from Record where Id > 50,SELECT Id FROM Record WHERE Id > 50;
Find unique values in Id from Record,SELECT DISTINCT Id FROM Record;
Find average of Id from Record,SELECT AVG(Id) FROM Record;
Find minimum of Id from Record,SELECT MIN(Id) FROM Record;
Find maximum of Id from Record,SELECT MAX(Id) FROM Record;
Find sum of Id from Record,SELECT SUM(Id) FROM Record;
Find count of Id from Record,SELECT COUNT(Id) FROM Record;
Find count of distinct Id from Record,SELECT COUNT(DISTINCT Id) FROM Record;
Find count of null values in Id from Record,SELECT COUNT(*) - COUNT(Id) FROM Record;
Find count of non-null values in Id from Record,SELECT COUNT(Id) FROM Record;
Find count of records where Id is null from Record,SELECT COUNT(*) FROM Record WHERE Id IS NULL;
Find count of records where Id is not null from Record,SELECT COUNT(*) FROM Record WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from Record,SELECT COUNT(*) FROM Record WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from Record,SELECT COUNT(*) FROM Record WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Role,SELECT * FROM Role;
Find top 10 records from Role,SELECT TOP 10 * FROM Role;
Count total records in Role,SELECT COUNT(*) FROM Role;
Find Id from Role where Id > 50,SELECT Id FROM Role WHERE Id > 50;
Find unique values in Id from Role,SELECT DISTINCT Id FROM Role;
Find average of Id from Role,SELECT AVG(Id) FROM Role;
Find minimum of Id from Role,SELECT MIN(Id) FROM Role;
Find maximum of Id from Role,SELECT MAX(Id) FROM Role;
Find sum of Id from Role,SELECT SUM(Id) FROM Role;
Find count of Id from Role,SELECT COUNT(Id) FROM Role;
Find count of distinct Id from Role,SELECT COUNT(DISTINCT Id) FROM Role;
Find count of null values in Id from Role,SELECT COUNT(*) - COUNT(Id) FROM Role;
Find count of non-null values in Id from Role,SELECT COUNT(Id) FROM Role;
Find count of records where Id is null from Role,SELECT COUNT(*) FROM Role WHERE Id IS NULL;
Find count of records where Id is not null from Role,SELECT COUNT(*) FROM Role WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from Role,SELECT COUNT(*) FROM Role WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from Role,SELECT COUNT(*) FROM Role WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from RoleClaim,SELECT * FROM RoleClaim;
Find top 10 records from RoleClaim,SELECT TOP 10 * FROM RoleClaim;
Count total records in RoleClaim,SELECT COUNT(*) FROM RoleClaim;
Find Id from RoleClaim where Id > 50,SELECT Id FROM RoleClaim WHERE Id > 50;
Find unique values in Id from RoleClaim,SELECT DISTINCT Id FROM RoleClaim;
Find average of Id from RoleClaim,SELECT AVG(Id) FROM RoleClaim;
Find minimum of Id from RoleClaim,SELECT MIN(Id) FROM RoleClaim;
Find maximum of Id from RoleClaim,SELECT MAX(Id) FROM RoleClaim;
Find sum of Id from RoleClaim,SELECT SUM(Id) FROM RoleClaim;
Find count of Id from RoleClaim,SELECT COUNT(Id) FROM RoleClaim;
Find count of distinct Id from RoleClaim,SELECT COUNT(DISTINCT Id) FROM RoleClaim;
Find count of null values in Id from RoleClaim,SELECT COUNT(*) - COUNT(Id) FROM RoleClaim;
Find count of non-null values in Id from RoleClaim,SELECT COUNT(Id) FROM RoleClaim;
Find count of records where Id is null from RoleClaim,SELECT COUNT(*) FROM RoleClaim WHERE Id IS NULL;
Find count of records where Id is not null from RoleClaim,SELECT COUNT(*) FROM RoleClaim WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from RoleClaim,SELECT COUNT(*) FROM RoleClaim WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from RoleClaim,SELECT COUNT(*) FROM RoleClaim WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from Sample,SELECT * FROM Sample;
Find top 10 records from Sample,SELECT TOP 10 * FROM Sample;
Count total records in Sample,SELECT COUNT(*) FROM Sample;
Find Id from Sample where Id > 50,SELECT Id FROM Sample WHERE Id > 50;
Find unique values in Id from Sample,SELECT DISTINCT Id FROM Sample;
Find average of Id from Sample,SELECT AVG(Id) FROM Sample;
Find minimum of Id from Sample,SELECT MIN(Id) FROM Sample;
Find maximum of Id from Sample,SELECT MAX(Id) FROM Sample;
Find sum of Id from Sample,SELECT SUM(Id) FROM Sample;
Find count of Id from Sample,SELECT COUNT(Id) FROM Sample;
Find count of distinct Id from Sample,SELECT COUNT(DISTINCT Id) FROM Sample;
Find count of null values in Id from Sample,SELECT COUNT(*) - COUNT(Id) FROM Sample;
Find count of non-null values in Id from Sample,SELECT COUNT(Id) FROM Sample;
Find count of records where Id is null from Sample,SELECT COUNT(*) FROM Sample WHERE Id IS NULL;
Find count of records where Id is not null from Sample,SELECT COUNT(*) FROM Sample WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from Sample,SELECT COUNT(*) FROM Sample WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from Sample,SELECT COUNT(*) FROM Sample WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from SampleTable,SELECT * FROM SampleTable;
Find top 10 records from SampleTable,SELECT TOP 10 * FROM SampleTable;
Count total records in SampleTable,SELECT COUNT(*) FROM SampleTable;
Find Id from SampleTable where Id > 50,SELECT Id FROM SampleTable WHERE Id > 50;
Find unique values in Id from SampleTable,SELECT DISTINCT Id FROM SampleTable;
Find average of Id from SampleTable,SELECT AVG(Id) FROM SampleTable;
Find minimum of Id from SampleTable,SELECT MIN(Id) FROM SampleTable;
Find maximum of Id from SampleTable,SELECT MAX(Id) FROM SampleTable;
Find sum of Id from SampleTable,SELECT SUM(Id) FROM SampleTable;
Find count of Id from SampleTable,SELECT COUNT(Id) FROM SampleTable;
Find count of distinct Id from SampleTable,SELECT COUNT(DISTINCT Id) FROM SampleTable;
Find count of null values in Id from SampleTable,SELECT COUNT(*) - COUNT(Id) FROM SampleTable;
Find count of non-null values in Id from SampleTable,SELECT COUNT(Id) FROM SampleTable;
Find count of records where Id is null from SampleTable,SELECT COUNT(*) FROM SampleTable WHERE Id IS NULL;
Find count of records where Id is not null from SampleTable,SELECT COUNT(*) FROM SampleTable WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from SampleTable,SELECT COUNT(*) FROM SampleTable WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from SampleTable,SELECT COUNT(*) FROM SampleTable WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
