Natural Language Query,SQL Query
Get minimum DeviceName from LoginTokenLog,SELECT MIN(DeviceName) FROM LoginTokenLog;
Calculate average DeviceName in LoginTokenLog,SELECT AVG(DeviceName) FROM LoginTokenLog;
Get all records from LoginTokenLog,SELECT * FROM LoginTokenLog;
"Show all Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry from LoginTokenLog","SELECT Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry FROM LoginTokenLog;"
"List all Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry in LoginTokenLog where RefreshToken is 59","SELECT Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry FROM LoginTokenLog WHERE RefreshToken = '80';"
"Find Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry in LoginTokenLog with RefreshToken greater than 69","SELECT Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry FROM LoginTokenLog WHERE RefreshToken > 29;"
"Get Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry from LoginTokenLog where RefreshToken is in (34, 71)","SELECT Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry FROM LoginTokenLog WHERE RefreshToken IN ('23', '83');"
Find all records in LoginTokenLog where RefreshToken is between 47 and 58,SELECT * FROM LoginTokenLog WHERE RefreshToken BETWEEN '13' AND '89';
Join LoginTokenLog and Organization on RefreshToken = Id,SELECT * FROM LoginTokenLog JOIN UiPageValidationType ON LoginTokenLog.RefreshToken = UiPageValidationType.AccessToken;
Count number of records in LoginTokenLog,SELECT COUNT(*) FROM LoginTokenLog;
"Find distinct Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry from LoginTokenLog","SELECT DISTINCT Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry FROM LoginTokenLog;"
Get maximum RefreshToken from LoginTokenLog,SELECT MAX(RefreshToken) FROM LoginTokenLog;
Get minimum RefreshToken from LoginTokenLog,SELECT MIN(RefreshToken) FROM LoginTokenLog;
Calculate average RefreshToken in LoginTokenLog,SELECT AVG(RefreshToken) FROM LoginTokenLog;
Get all records from LoginTokenLog,SELECT * FROM LoginTokenLog;
"Show all Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry from LoginTokenLog","SELECT Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry FROM LoginTokenLog;"
"List all Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry in LoginTokenLog where AccessTokenExpiry is 69","SELECT Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry FROM LoginTokenLog WHERE AccessTokenExpiry = '95';"
"Find Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry in LoginTokenLog with AccessTokenExpiry greater than 65","SELECT Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry FROM LoginTokenLog WHERE AccessTokenExpiry > 31;"
"Get Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry from LoginTokenLog where AccessTokenExpiry is in (28, 66)","SELECT Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry FROM LoginTokenLog WHERE AccessTokenExpiry IN ('23', '71');"
Find all records in LoginTokenLog where AccessTokenExpiry is between 7 and 56,SELECT * FROM LoginTokenLog WHERE AccessTokenExpiry BETWEEN '17' AND '51';
Join LoginTokenLog and Record on AccessTokenExpiry = AccessToken,SELECT * FROM LoginTokenLog JOIN UiPageValidationType ON LoginTokenLog.AccessTokenExpiry = UiPageValidationType.DeviceName;
Count number of records in LoginTokenLog,SELECT COUNT(*) FROM LoginTokenLog;
"Find distinct Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry from LoginTokenLog","SELECT DISTINCT Id, UserId, AccessToken, RefreshTokenExpiry, DeviceCode, DeviceName, RefreshToken, AccessTokenExpiry FROM LoginTokenLog;"
Get maximum AccessTokenExpiry from LoginTokenLog,SELECT MAX(AccessTokenExpiry) FROM LoginTokenLog;
Get minimum AccessTokenExpiry from LoginTokenLog,SELECT MIN(AccessTokenExpiry) FROM LoginTokenLog;
Calculate average AccessTokenExpiry in LoginTokenLog,SELECT AVG(AccessTokenExpiry) FROM LoginTokenLog;
Get all records from Logs,SELECT * FROM Logs;
"Show all ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs;"
"List all ID, MachineName, Logged, Level, Message, Logger, Callsite in Logs where ID is 97","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE ID = '37';"
"Find ID, MachineName, Logged, Level, Message, Logger, Callsite in Logs with ID greater than 7","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE ID > 2;"
"Get ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs where ID is in (7, 97)","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE ID IN ('35', '68');"
Find all records in Logs where ID is between 12 and 51,SELECT * FROM Logs WHERE ID BETWEEN '13' AND '74';
Join Logs and UiControlCategoryType on ID = MachineName,SELECT * FROM Logs JOIN UiPageValidation ON Logs.ID = UiPageValidation.ID;
Count number of records in Logs,SELECT COUNT(*) FROM Logs;
"Find distinct ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs","SELECT DISTINCT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs;"
Get maximum ID from Logs,SELECT MAX(ID) FROM Logs;
Get minimum ID from Logs,SELECT MIN(ID) FROM Logs;
Calculate average ID in Logs,SELECT AVG(ID) FROM Logs;
Get all records from Logs,SELECT * FROM Logs;
"Show all ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs;"
"List all ID, MachineName, Logged, Level, Message, Logger, Callsite in Logs where MachineName is 12","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE MachineName = '13';"
"Find ID, MachineName, Logged, Level, Message, Logger, Callsite in Logs with MachineName greater than 69","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE MachineName > 86;"
"Get ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs where MachineName is in (36, 93)","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE MachineName IN ('30', '71');"
Find all records in Logs where MachineName is between 38 and 97,SELECT * FROM Logs WHERE MachineName BETWEEN '20' AND '89';
Join Logs and PasswordLogin on MachineName = MachineName,SELECT * FROM Logs JOIN ClaimType ON Logs.MachineName = ClaimType.Logged;
Count number of records in Logs,SELECT COUNT(*) FROM Logs;
"Find distinct ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs","SELECT DISTINCT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs;"
Get maximum MachineName from Logs,SELECT MAX(MachineName) FROM Logs;
Get minimum MachineName from Logs,SELECT MIN(MachineName) FROM Logs;
Calculate average MachineName in Logs,SELECT AVG(MachineName) FROM Logs;
Get all records from Logs,SELECT * FROM Logs;
"Show all ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs;"
"List all ID, MachineName, Logged, Level, Message, Logger, Callsite in Logs where Logged is 23","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Logged = '61';"
"Find ID, MachineName, Logged, Level, Message, Logger, Callsite in Logs with Logged greater than 58","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Logged > 6;"
"Get ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs where Logged is in (16, 92)","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Logged IN ('23', '80');"
Find all records in Logs where Logged is between 29 and 63,SELECT * FROM Logs WHERE Logged BETWEEN '17' AND '80';
Join Logs and UiPageType on Logged = MachineName,SELECT * FROM Logs JOIN RoleClaim ON Logs.Logged = RoleClaim.Logged;
Count number of records in Logs,SELECT COUNT(*) FROM Logs;
"Find distinct ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs","SELECT DISTINCT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs;"
Get maximum Logged from Logs,SELECT MAX(Logged) FROM Logs;
Get minimum Logged from Logs,SELECT MIN(Logged) FROM Logs;
Calculate average Logged in Logs,SELECT AVG(Logged) FROM Logs;
Get all records from Logs,SELECT * FROM Logs;
"Show all ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs;"
"List all ID, MachineName, Logged, Level, Message, Logger, Callsite in Logs where Level is 77","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Level = '92';"
"Find ID, MachineName, Logged, Level, Message, Logger, Callsite in Logs with Level greater than 64","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Level > 58;"
"Get ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs where Level is in (50, 64)","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Level IN ('49', '76');"
Find all records in Logs where Level is between 30 and 95,SELECT * FROM Logs WHERE Level BETWEEN '23' AND '89';
Join Logs and ActivityMetadata on Level = Callsite,SELECT * FROM Logs JOIN UiPageStringType ON Logs.Level = UiPageStringType.Logged;
Count number of records in Logs,SELECT COUNT(*) FROM Logs;
"Find distinct ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs","SELECT DISTINCT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs;"
Get maximum Level from Logs,SELECT MAX(Level) FROM Logs;
Get minimum Level from Logs,SELECT MIN(Level) FROM Logs;
Calculate average Level in Logs,SELECT AVG(Level) FROM Logs;
Get all records from Logs,SELECT * FROM Logs;
"Show all ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs;"
"List all ID, MachineName, Logged, Level, Message, Logger, Callsite in Logs where Message is 54","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Message = '69';"
"Find ID, MachineName, Logged, Level, Message, Logger, Callsite in Logs with Message greater than 96","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Message > 10;"
"Get ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs where Message is in (50, 87)","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Message IN ('14', '53');"
Find all records in Logs where Message is between 11 and 54,SELECT * FROM Logs WHERE Message BETWEEN '6' AND '55';
Join Logs and Application on Message = Callsite,SELECT * FROM Logs JOIN Activity ON Logs.Message = Activity.Message;
Count number of records in Logs,SELECT COUNT(*) FROM Logs;
"Find distinct ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs","SELECT DISTINCT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs;"
Get maximum Message from Logs,SELECT MAX(Message) FROM Logs;
Get minimum Message from Logs,SELECT MIN(Message) FROM Logs;
Calculate average Message in Logs,SELECT AVG(Message) FROM Logs;
Get all records from Logs,SELECT * FROM Logs;
"Show all ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs;"
"List all ID, MachineName, Logged, Level, Message, Logger, Callsite in Logs where Logger is 89","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Logger = '16';"
"Find ID, MachineName, Logged, Level, Message, Logger, Callsite in Logs with Logger greater than 87","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Logger > 59;"
"Get ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs where Logger is in (34, 82)","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Logger IN ('24', '68');"
Find all records in Logs where Logger is between 35 and 92,SELECT * FROM Logs WHERE Logger BETWEEN '42' AND '61';
Join Logs and Organization on Logger = Level,SELECT * FROM Logs JOIN SampleTable ON Logs.Logger = SampleTable.Message;
Count number of records in Logs,SELECT COUNT(*) FROM Logs;
"Find distinct ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs","SELECT DISTINCT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs;"
Get maximum Logger from Logs,SELECT MAX(Logger) FROM Logs;
Get minimum Logger from Logs,SELECT MIN(Logger) FROM Logs;
Calculate average Logger in Logs,SELECT AVG(Logger) FROM Logs;
Get all records from Logs,SELECT * FROM Logs;
"Show all ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs;"
"List all ID, MachineName, Logged, Level, Message, Logger, Callsite in Logs where Callsite is 41","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Callsite = '68';"
"Find ID, MachineName, Logged, Level, Message, Logger, Callsite in Logs with Callsite greater than 62","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Callsite > 70;"
"Get ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs where Callsite is in (14, 70)","SELECT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs WHERE Callsite IN ('5', '65');"
Find all records in Logs where Callsite is between 24 and 76,SELECT * FROM Logs WHERE Callsite BETWEEN '37' AND '89';
Join Logs and GroupClaim on Callsite = Logger,SELECT * FROM Logs JOIN UiPageValidationType ON Logs.Callsite = UiPageValidationType.Logged;
Count number of records in Logs,SELECT COUNT(*) FROM Logs;
"Find distinct ID, MachineName, Logged, Level, Message, Logger, Callsite from Logs","SELECT DISTINCT ID, MachineName, Logged, Level, Message, Logger, Callsite FROM Logs;"
Get maximum Callsite from Logs,SELECT MAX(Callsite) FROM Logs;
Get minimum Callsite from Logs,SELECT MIN(Callsite) FROM Logs;
Calculate average Callsite in Logs,SELECT AVG(Callsite) FROM Logs;
Get all records from Lookup,SELECT * FROM Lookup;
"Show all Id, Name, LookupCategoryId, IsDeleted from Lookup","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup;"
"List all Id, Name, LookupCategoryId, IsDeleted in Lookup where Id is 91","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup WHERE Id = '58';"
"Find Id, Name, LookupCategoryId, IsDeleted in Lookup with Id greater than 13","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup WHERE Id > 64;"
"Get Id, Name, LookupCategoryId, IsDeleted from Lookup where Id is in (26, 83)","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup WHERE Id IN ('26', '69');"
Find all records in Lookup where Id is between 40 and 57,SELECT * FROM Lookup WHERE Id BETWEEN '33' AND '61';
Join Lookup and Lookup on Id = Id,SELECT * FROM Lookup JOIN UiPageIntType ON Lookup.Id = UiPageIntType.Id;
Count number of records in Lookup,SELECT COUNT(*) FROM Lookup;
"Find distinct Id, Name, LookupCategoryId, IsDeleted from Lookup","SELECT DISTINCT Id, Name, LookupCategoryId, IsDeleted FROM Lookup;"
Get maximum Id from Lookup,SELECT MAX(Id) FROM Lookup;
Get minimum Id from Lookup,SELECT MIN(Id) FROM Lookup;
Calculate average Id in Lookup,SELECT AVG(Id) FROM Lookup;
Get all records from Lookup,SELECT * FROM Lookup;
"Show all Id, Name, LookupCategoryId, IsDeleted from Lookup","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup;"
"List all Id, Name, LookupCategoryId, IsDeleted in Lookup where Name is 64","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup WHERE Name = '37';"
"Find Id, Name, LookupCategoryId, IsDeleted in Lookup with Name greater than 27","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup WHERE Name > 14;"
"Get Id, Name, LookupCategoryId, IsDeleted from Lookup where Name is in (1, 99)","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup WHERE Name IN ('12', '64');"
Find all records in Lookup where Name is between 6 and 86,SELECT * FROM Lookup WHERE Name BETWEEN '35' AND '60';
Join Lookup and Layout on Name = Name,SELECT * FROM Lookup JOIN UiNavigationCategory ON Lookup.Name = UiNavigationCategory.LookupCategoryId;
Count number of records in Lookup,SELECT COUNT(*) FROM Lookup;
"Find distinct Id, Name, LookupCategoryId, IsDeleted from Lookup","SELECT DISTINCT Id, Name, LookupCategoryId, IsDeleted FROM Lookup;"
Get maximum Name from Lookup,SELECT MAX(Name) FROM Lookup;
Get minimum Name from Lookup,SELECT MIN(Name) FROM Lookup;
Calculate average Name in Lookup,SELECT AVG(Name) FROM Lookup;
Get all records from Lookup,SELECT * FROM Lookup;
"Show all Id, Name, LookupCategoryId, IsDeleted from Lookup","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup;"
"List all Id, Name, LookupCategoryId, IsDeleted in Lookup where LookupCategoryId is 90","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup WHERE LookupCategoryId = '24';"
"Find Id, Name, LookupCategoryId, IsDeleted in Lookup with LookupCategoryId greater than 86","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup WHERE LookupCategoryId > 9;"
"Get Id, Name, LookupCategoryId, IsDeleted from Lookup where LookupCategoryId is in (41, 83)","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup WHERE LookupCategoryId IN ('20', '53');"
Find all records in Lookup where LookupCategoryId is between 7 and 95,SELECT * FROM Lookup WHERE LookupCategoryId BETWEEN '3' AND '99';
Join Lookup and DataType on LookupCategoryId = Id,SELECT * FROM Lookup JOIN UserRole ON Lookup.LookupCategoryId = UserRole.IsDeleted;
Count number of records in Lookup,SELECT COUNT(*) FROM Lookup;
"Find distinct Id, Name, LookupCategoryId, IsDeleted from Lookup","SELECT DISTINCT Id, Name, LookupCategoryId, IsDeleted FROM Lookup;"
Get maximum LookupCategoryId from Lookup,SELECT MAX(LookupCategoryId) FROM Lookup;
Get minimum LookupCategoryId from Lookup,SELECT MIN(LookupCategoryId) FROM Lookup;
Calculate average LookupCategoryId in Lookup,SELECT AVG(LookupCategoryId) FROM Lookup;
Get all records from Lookup,SELECT * FROM Lookup;
"Show all Id, Name, LookupCategoryId, IsDeleted from Lookup","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup;"
"List all Id, Name, LookupCategoryId, IsDeleted in Lookup where IsDeleted is 73","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup WHERE IsDeleted = '16';"
"Find Id, Name, LookupCategoryId, IsDeleted in Lookup with IsDeleted greater than 79","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup WHERE IsDeleted > 39;"
"Get Id, Name, LookupCategoryId, IsDeleted from Lookup where IsDeleted is in (49, 60)","SELECT Id, Name, LookupCategoryId, IsDeleted FROM Lookup WHERE IsDeleted IN ('15', '68');"
Find all records in Lookup where IsDeleted is between 28 and 95,SELECT * FROM Lookup WHERE IsDeleted BETWEEN '9' AND '98';
Join Lookup and UiNavigationCategory on IsDeleted = LookupCategoryId,SELECT * FROM Lookup JOIN ModuleLayout ON Lookup.IsDeleted = ModuleLayout.Name;
Count number of records in Lookup,SELECT COUNT(*) FROM Lookup;
"Find distinct Id, Name, LookupCategoryId, IsDeleted from Lookup","SELECT DISTINCT Id, Name, LookupCategoryId, IsDeleted FROM Lookup;"
Get maximum IsDeleted from Lookup,SELECT MAX(IsDeleted) FROM Lookup;
Get minimum IsDeleted from Lookup,SELECT MIN(IsDeleted) FROM Lookup;
Calculate average IsDeleted in Lookup,SELECT AVG(IsDeleted) FROM Lookup;
Get all records from LookupCategory,SELECT * FROM LookupCategory;
"Show all Id, Name, IsDeleted from LookupCategory","SELECT Id, Name, IsDeleted FROM LookupCategory;"
"List all Id, Name, IsDeleted in LookupCategory where Id is 45","SELECT Id, Name, IsDeleted FROM LookupCategory WHERE Id = '79';"
"Find Id, Name, IsDeleted in LookupCategory with Id greater than 42","SELECT Id, Name, IsDeleted FROM LookupCategory WHERE Id > 61;"
"Get Id, Name, IsDeleted from LookupCategory where Id is in (44, 94)","SELECT Id, Name, IsDeleted FROM LookupCategory WHERE Id IN ('12', '96');"
Find all records in LookupCategory where Id is between 15 and 59,SELECT * FROM LookupCategory WHERE Id BETWEEN '22' AND '55';
Join LookupCategory and ImageUpload on Id = Name,SELECT * FROM LookupCategory JOIN Template ON LookupCategory.Id = Template.Name;
Count number of records in LookupCategory,SELECT COUNT(*) FROM LookupCategory;
"Find distinct Id, Name, IsDeleted from LookupCategory","SELECT DISTINCT Id, Name, IsDeleted FROM LookupCategory;"
Get maximum Id from LookupCategory,SELECT MAX(Id) FROM LookupCategory;
Get minimum Id from LookupCategory,SELECT MIN(Id) FROM LookupCategory;
Calculate average Id in LookupCategory,SELECT AVG(Id) FROM LookupCategory;
Get all records from LookupCategory,SELECT * FROM LookupCategory;
"Show all Id, Name, IsDeleted from LookupCategory","SELECT Id, Name, IsDeleted FROM LookupCategory;"
"List all Id, Name, IsDeleted in LookupCategory where Name is 14","SELECT Id, Name, IsDeleted FROM LookupCategory WHERE Name = '13';"
"Find Id, Name, IsDeleted in LookupCategory with Name greater than 2","SELECT Id, Name, IsDeleted FROM LookupCategory WHERE Name > 72;"
"Get Id, Name, IsDeleted from LookupCategory where Name is in (17, 100)","SELECT Id, Name, IsDeleted FROM LookupCategory WHERE Name IN ('28', '96');"
Find all records in LookupCategory where Name is between 25 and 95,SELECT * FROM LookupCategory WHERE Name BETWEEN '43' AND '87';
Join LookupCategory and UserClaim on Name = Name,SELECT * FROM LookupCategory JOIN ClaimType ON LookupCategory.Name = ClaimType.Id;
Count number of records in LookupCategory,SELECT COUNT(*) FROM LookupCategory;
"Find distinct Id, Name, IsDeleted from LookupCategory","SELECT DISTINCT Id, Name, IsDeleted FROM LookupCategory;"
Get maximum Name from LookupCategory,SELECT MAX(Name) FROM LookupCategory;
Get minimum Name from LookupCategory,SELECT MIN(Name) FROM LookupCategory;
Calculate average Name in LookupCategory,SELECT AVG(Name) FROM LookupCategory;
Get all records from LookupCategory,SELECT * FROM LookupCategory;
"Show all Id, Name, IsDeleted from LookupCategory","SELECT Id, Name, IsDeleted FROM LookupCategory;"
"List all Id, Name, IsDeleted in LookupCategory where IsDeleted is 50","SELECT Id, Name, IsDeleted FROM LookupCategory WHERE IsDeleted = '73';"
"Find Id, Name, IsDeleted in LookupCategory with IsDeleted greater than 86","SELECT Id, Name, IsDeleted FROM LookupCategory WHERE IsDeleted > 16;"
"Get Id, Name, IsDeleted from LookupCategory where IsDeleted is in (27, 58)","SELECT Id, Name, IsDeleted FROM LookupCategory WHERE IsDeleted IN ('4', '51');"
Find all records in LookupCategory where IsDeleted is between 29 and 89,SELECT * FROM LookupCategory WHERE IsDeleted BETWEEN '43' AND '54';
Join LookupCategory and Survey on IsDeleted = Name,SELECT * FROM LookupCategory JOIN UiPageDateType ON LookupCategory.IsDeleted = UiPageDateType.Id;
Count number of records in LookupCategory,SELECT COUNT(*) FROM LookupCategory;
"Find distinct Id, Name, IsDeleted from LookupCategory","SELECT DISTINCT Id, Name, IsDeleted FROM LookupCategory;"
Get maximum IsDeleted from LookupCategory,SELECT MAX(IsDeleted) FROM LookupCategory;
Get minimum IsDeleted from LookupCategory,SELECT MIN(IsDeleted) FROM LookupCategory;
Calculate average IsDeleted in LookupCategory,SELECT AVG(IsDeleted) FROM LookupCategory;
Get all records from Module,SELECT * FROM Module;
"Show all Id, Name, ApplicationId, IsDeleted from Module","SELECT Id, Name, ApplicationId, IsDeleted FROM Module;"
"List all Id, Name, ApplicationId, IsDeleted in Module where Id is 54","SELECT Id, Name, ApplicationId, IsDeleted FROM Module WHERE Id = '22';"
"Find Id, Name, ApplicationId, IsDeleted in Module with Id greater than 51","SELECT Id, Name, ApplicationId, IsDeleted FROM Module WHERE Id > 66;"
"Get Id, Name, ApplicationId, IsDeleted from Module where Id is in (25, 81)","SELECT Id, Name, ApplicationId, IsDeleted FROM Module WHERE Id IN ('5', '59');"
Find all records in Module where Id is between 9 and 73,SELECT * FROM Module WHERE Id BETWEEN '42' AND '89';
Join Module and Layout on Id = Id,SELECT * FROM Module JOIN UiPageStringType ON Module.Id = UiPageStringType.Id;
Count number of records in Module,SELECT COUNT(*) FROM Module;
"Find distinct Id, Name, ApplicationId, IsDeleted from Module","SELECT DISTINCT Id, Name, ApplicationId, IsDeleted FROM Module;"
Get maximum Id from Module,SELECT MAX(Id) FROM Module;
Get minimum Id from Module,SELECT MIN(Id) FROM Module;
Calculate average Id in Module,SELECT AVG(Id) FROM Module;
Get all records from Module,SELECT * FROM Module;
"Show all Id, Name, ApplicationId, IsDeleted from Module","SELECT Id, Name, ApplicationId, IsDeleted FROM Module;"
"List all Id, Name, ApplicationId, IsDeleted in Module where Name is 85","SELECT Id, Name, ApplicationId, IsDeleted FROM Module WHERE Name = '48';"
"Find Id, Name, ApplicationId, IsDeleted in Module with Name greater than 54","SELECT Id, Name, ApplicationId, IsDeleted FROM Module WHERE Name > 50;"
"Get Id, Name, ApplicationId, IsDeleted from Module where Name is in (18, 66)","SELECT Id, Name, ApplicationId, IsDeleted FROM Module WHERE Name IN ('47', '68');"
Find all records in Module where Name is between 50 and 55,SELECT * FROM Module WHERE Name BETWEEN '20' AND '56';
Join Module and UserGroup on Name = Name,SELECT * FROM Module JOIN UiPageMetadataModuleBridge ON Module.Name = UiPageMetadataModuleBridge.ApplicationId;
Count number of records in Module,SELECT COUNT(*) FROM Module;
"Find distinct Id, Name, ApplicationId, IsDeleted from Module","SELECT DISTINCT Id, Name, ApplicationId, IsDeleted FROM Module;"
Get maximum Name from Module,SELECT MAX(Name) FROM Module;
Get minimum Name from Module,SELECT MIN(Name) FROM Module;
Calculate average Name in Module,SELECT AVG(Name) FROM Module;
Get all records from Module,SELECT * FROM Module;
"Show all Id, Name, ApplicationId, IsDeleted from Module","SELECT Id, Name, ApplicationId, IsDeleted FROM Module;"
"List all Id, Name, ApplicationId, IsDeleted in Module where ApplicationId is 52","SELECT Id, Name, ApplicationId, IsDeleted FROM Module WHERE ApplicationId = '71';"
"Find Id, Name, ApplicationId, IsDeleted in Module with ApplicationId greater than 36","SELECT Id, Name, ApplicationId, IsDeleted FROM Module WHERE ApplicationId > 33;"
"Get Id, Name, ApplicationId, IsDeleted from Module where ApplicationId is in (48, 58)","SELECT Id, Name, ApplicationId, IsDeleted FROM Module WHERE ApplicationId IN ('43', '89');"
Find all records in Module where ApplicationId is between 36 and 86,SELECT * FROM Module WHERE ApplicationId BETWEEN '8' AND '68';
Join Module and SampleTable on ApplicationId = Name,SELECT * FROM Module JOIN LookupCategory ON Module.ApplicationId = LookupCategory.Name;
Count number of records in Module,SELECT COUNT(*) FROM Module;
"Find distinct Id, Name, ApplicationId, IsDeleted from Module","SELECT DISTINCT Id, Name, ApplicationId, IsDeleted FROM Module;"
Get maximum ApplicationId from Module,SELECT MAX(ApplicationId) FROM Module;
